activemq,0.343686,0.390149,0.487829,0.605213,0.625993,0.794270,0.638762,0.630335,0.473096,0.235989,0.283905,0.505754,0.326560,0.356621,0.387180,0.555483,0.490854,0.452305
camel,0.287984,0.317718,0.455577,0.587554,0.600577,0.823908,0.538674,0.531229,0.390248,0.197323,0.227628,0.549060,0.277509,0.295935,0.377877,0.238389,0.224360,0.382611
derby,0.338141,0.372679,0.421547,0.616778,0.637356,0.799704,0.410680,0.420220,0.314851,0.289217,0.336857,0.641357,0.272619,0.302404,0.342965,0.294155,0.314710,0.467642
geronimo,0.177809,0.203082,0.451609,0.547965,0.556158,0.816055,0.616615,0.639712,0.460629,0.104290,0.121185,0.444450,0.220816,0.244715,0.382455,0.569536,0.495108,0.396303
hbase,0.499449,0.497221,0.555031,0.675825,0.676301,0.826003,0.698795,0.666660,0.525485,0.389343,0.397125,0.589109,0.449152,0.437291,0.449783,0.355850,0.343097,0.465917
hcommon,0.291553,0.301766,0.440000,0.591444,0.595107,0.869406,0.633334,0.649576,0.395903,0.190259,0.197293,0.497680,0.325482,0.336816,0.402061,0.684285,0.687945,0.709165
mahout,0.323632,0.402970,0.539576,0.598484,0.634809,0.835437,0.643576,0.618944,0.500515,0.219246,0.303761,0.592297,0.317610,0.366910,0.453690,0.201115,0.220173,0.318495
openjpa,0.224342,0.231198,0.396003,0.563928,0.566406,0.761001,0.554058,0.581164,0.350108,0.142034,0.145680,0.460302,0.240699,0.252592,0.316309,0.351773,0.299773,0.355479
pig,0.422321,0.426597,0.499581,0.644288,0.645315,0.801956,0.630968,0.656267,0.463062,0.321774,0.321019,0.550075,0.385728,0.396042,0.406569,0.347408,0.293243,0.413108
tuscany,0.069860,0.078449,0.362549,0.517673,0.520196,0.807856,0.587056,0.687763,0.328183,0.037313,0.041882,0.406327,0.134101,0.155857,0.311740,0.625970,0.632300,0.365753
