activemq,0.392961,0.426087,0.511665,0.626747,0.643459,0.816764,0.661680,0.635932,0.483983,0.280910,0.322141,0.545409,0.368567,0.384690,0.413694,0.388133,0.362201,0.462817
camel,0.365048,0.393522,0.501886,0.618296,0.634368,0.849797,0.650777,0.593942,0.433592,0.254606,0.295283,0.597320,0.363492,0.368721,0.432241,0.247836,0.261212,0.400939
derby,0.318521,0.334495,0.448946,0.598925,0.606192,0.807902,0.617131,0.597518,0.383236,0.215928,0.233530,0.544647,0.320124,0.326067,0.368707,0.352911,0.310946,0.433830
geronimo,0.371770,0.402501,0.495504,0.621162,0.636828,0.837332,0.657267,0.631730,0.444989,0.259944,0.296099,0.560442,0.370632,0.386292,0.425522,0.519460,0.404030,0.487379
hbase,0.589151,0.563904,0.592272,0.725598,0.717174,0.842313,0.741567,0.667650,0.542466,0.489486,0.488907,0.653329,0.535172,0.492844,0.494062,0.427339,0.396740,0.492738
hcommon,0.372333,0.381591,0.480605,0.623271,0.627924,0.885790,0.710417,0.699801,0.424693,0.253373,0.263332,0.555607,0.403513,0.408046,0.446455,0.697635,0.698054,0.661962
mahout,0.435998,0.499693,0.546584,0.651443,0.692277,0.841936,0.628149,0.588601,0.488389,0.339820,0.440360,0.630368,0.394312,0.433773,0.461689,0.226997,0.254106,0.334952
openjpa,0.293241,0.300758,0.431686,0.589362,0.593143,0.794376,0.635294,0.603858,0.374749,0.192225,0.202481,0.513845,0.310656,0.307859,0.357202,0.284310,0.249737,0.398184
pig,0.473529,0.481690,0.510440,0.671091,0.673855,0.809794,0.644449,0.671055,0.470482,0.379350,0.381050,0.564605,0.428914,0.442904,0.418789,0.353688,0.321056,0.408786
tuscany,0.174700,0.202730,0.374084,0.548675,0.558165,0.831073,0.630058,0.606451,0.309146,0.101913,0.122344,0.475421,0.233807,0.250640,0.325569,0.629676,0.635452,0.401715
