activemq,0.484469,0.509626,0.507351,0.683701,0.704062,0.809175,0.546528,0.532474,0.423307,0.436730,0.490488,0.635842,0.403016,0.421770,0.403141,0.408092,0.438276,0.495357
camel,0.472656,0.481922,0.479407,0.692770,0.710781,0.846978,0.510408,0.471051,0.373481,0.441133,0.494561,0.671065,0.410848,0.412580,0.412333,0.360243,0.368366,0.428313
derby,0.392502,0.418188,0.434239,0.648777,0.671170,0.809880,0.433210,0.417289,0.325133,0.360780,0.421018,0.657030,0.322127,0.340765,0.359063,0.325580,0.358052,0.469673
geronimo,0.432900,0.457652,0.493396,0.655878,0.674129,0.842624,0.590399,0.560248,0.412079,0.342727,0.387826,0.616271,0.398202,0.410218,0.424266,0.393006,0.372388,0.525147
hbase,0.572456,0.565923,0.567920,0.735273,0.739386,0.833408,0.588569,0.545737,0.478139,0.558038,0.588652,0.700510,0.480376,0.465020,0.461785,0.458906,0.452410,0.516035
hcommon,0.375909,0.400766,0.465117,0.631015,0.644630,0.879687,0.605179,0.596069,0.393953,0.273874,0.302849,0.569523,0.381993,0.398915,0.431597,0.704471,0.708219,0.636917
mahout,0.510845,0.551171,0.536875,0.702144,0.737566,0.854731,0.575049,0.554382,0.448478,0.466156,0.554887,0.680782,0.440243,0.473685,0.450748,0.274444,0.309015,0.345939
openjpa,0.331457,0.358237,0.433406,0.608308,0.621963,0.798974,0.537540,0.528366,0.371273,0.241956,0.273724,0.525088,0.311453,0.328309,0.359110,0.242082,0.251331,0.411985
pig,0.490930,0.492818,0.491121,0.688428,0.691285,0.807255,0.574985,0.561765,0.411024,0.434339,0.444424,0.619097,0.423320,0.421290,0.392980,0.365510,0.349147,0.423304
tuscany,0.274096,0.304536,0.351186,0.590121,0.608235,0.825924,0.445452,0.411530,0.256366,0.198722,0.242404,0.559346,0.263990,0.277531,0.310222,0.572775,0.478650,0.417781
